output_products/code,output_products/name,name,routing/name
K-M8/LG/LP,Lifetime Kit - Moss/8 Ft/Large/Pouch,Lifetime Kit - Moss/8 Ft/Large/Pouch,
K-M8/MD/LP,Lifetime Kit - Moss/8 Ft/Medium/Pouch,Lifetime Kit - Moss/8 Ft/Medium/Pouch,
K-M8/SM/LP,Lifetime Kit - Moss/8 Ft/Small/Pouch,Lifetime Kit - Moss/8 Ft/Small/Pouch,
K-R5/LG/LP,Lifetime Kit - Ruby/5 Ft/Large/Pouch,Lifetime Kit - Ruby/5 Ft/Large/Pouch,
K-R5/MD/LP,Lifetime Kit - Ruby/5 Ft/Medium/Pouch,Lifetime Kit - Ruby/5 Ft/Medium/Pouch,
K-R5/SM/LP,Lifetime Kit - Ruby/5 Ft/Small/Pouch,Lifetime Kit - Ruby/5 Ft/Small/Pouch,
K-R8/LG/LP,Lifetime Kit - Ruby/8 Ft/Large/Pouch,Lifetime Kit - Ruby/8 Ft/Large/Pouch,
K-R8/MD/LP,Lifetime Kit - Ruby/8 Ft/Medium/Pouch,Lifetime Kit - Ruby/8 Ft/Medium/Pouch,
K-R8/SM/LP,Lifetime Kit - Ruby/8 Ft/Small/Pouch,Lifetime Kit - Ruby/8 Ft/Small/Pouch,
K-S5/LG/LP,Lifetime Kit - Silver/5 Ft/Large/Pouch,Lifetime Kit - Silver/5 Ft/Large/Pouch,
K-S5/MD/LP,Lifetime Kit - Silver/5 Ft/Medium/Pouch,Lifetime Kit - Silver/5 Ft/Medium/Pouch,
K-S5/SM/LP,Lifetime Kit - Silver/5 Ft/Small/Pouch,Lifetime Kit - Silver/5 Ft/Small/Pouch,
K-S8/LG/LP,Lifetime Kit - Silver/8 Ft/Large/Pouch,Lifetime Kit - Silver/8 Ft/Large/Pouch,
K-S8/MD/LP,Lifetime Kit - Silver/8 Ft/Medium/Pouch,Lifetime Kit - Silver/8 Ft/Medium/Pouch,
K-S8/SM/LP,Lifetime Kit - Silver/8 Ft/Small/Pouch,Lifetime Kit - Silver/8 Ft/Small/Pouch,
K-T5/LG/LP,Lifetime Kit - Twilight/5 Ft/Large/Pouch,Lifetime Kit - Twilight/5 Ft/Large/Pouch,
K-T5/MD/LP,Lifetime Kit - Twilight/5 Ft/Medium/Pouch,Lifetime Kit - Twilight/5 Ft/Medium/Pouch,
K-T5/SM/LP,Lifetime Kit - Twilight/5 Ft/Small/Pouch,Lifetime Kit - Twilight/5 Ft/Small/Pouch,
K-T8/LG/LP,Lifetime Kit - Twilight/8 Ft/Large/Pouch,Lifetime Kit - Twilight/8 Ft/Large/Pouch,
K-T8/MD/LP,Lifetime Kit - Twilight/8 Ft/Medium/Pouch,Lifetime Kit - Twilight/8 Ft/Medium/Pouch,
